ufo_id,location
12473,"Whananaki (New Zealand), New Zealand"
12527,"Cumbernauld (UK/Scotland), United Kingdom"
12563,"Cardross (UK/Scotland), United Kingdom"
12613,"Ljubljana (Slovenia), Slovenia"
12640,"Worcester (Midlands) (UK/England), United Kingdom"
12698,"Colesburg (Cape Provence) (South Africa), South Africa"
12723,"Spansh Cay/Abcos Inlands (Bahamas) (Near Coopers town), Bahamas"
12769,"Canon Frome Court (near Ledbury-Herefordshire) (UK/England), United Kingdom"
12853,"Koblenz (Westerwald mountains near) (Germany), Germany"
12855,"Mardin (Turkey), Turkey"
12856,"Diyarbak (Turkey), Turkey"
12861,"Osnabruck (Germany), Germany"
12865,"Billingham (UK/England), United Kingdom"
12913,"Toowoomba  (Australia), Australia"
12924,"Tromsoe (Norway), Norway"
12953,"London (About 200 miles west of) (UK/England), United Kingdom"
12962,"Cork (Republic of Ireland), Ireland"
12965,"Falkirk (UK/England), United Kingdom"
12970,"Germany or France (from aircraft), Germany/France"
12974,"Germany or Holland (from bomber), Germany"
12984,"Chadwell St Mary (Choose State/Prov) (UK/England), United Kingdom"
12997,"Dublin (Republic of Ireland), Ireland"
13018,"Wrexham? (UK/England), United Kingdom"
13040,"Hull (UK/England), United Kingdom"
13067,"Sheffield (UK/England), United Kingdom"
13123,"Albert Falls Dam/Reserve Ntl (South Africa), South Africa"
13276,"Banbury (UK/England), United Kingdom"
13328,"Koenigsleten (Austria), Austria"
13344,"Torrevieja (Spain), Spain"
13379,"Ponta Grossa (Brazil), Brazil"
13385,"Atlantic Ocean (CV-67 U.S.Navy), Atlantic Ocean"
13467,"Bath (UK/England), United Kingdom"
13480,"St. Martin (French West Indies), French West Indies"
13531,"Sheffield (near) (UK/England), United Kingdom"
13536,"Bolton (UK/England), United Kingdom"
13565,"Puerto Vallarto (Mexico), Mexico"
13592,"Whitby (New Zealand), New Zealand"
13625,"Glasgow (UK/Scotland), United Kingdom"
13638,"Banes (Cuba), Cuba"
13645,"Piteå (Sweden), Sweden"
13727,"Karlstad (Sweden), Sweden"
13728,"Santo Domingo (Dominican Republic), Dominican Republic"
13762,"Frimley (UK/England), United Kingdom"
13780,"Greymouth (New Zealand), New Zealand"
13812,"Karwia (Poland), Poland"
13926,"Edinburgh (over) (UK/Scotland), United Kingdom"
13927,"Bracknell (UK/England), United Kingdom"
13963,"Burgess Hill (UK/England), United Kingdom"
13969,"Balboa (Panama Canal Zone), Panama Canal Zone"
13975,"Bootle (UK/England), United Kingdom"
13983,"Puerto Vallarto (Mexico), Mexico"
13991,"Nottinghamshire (UK/England), United Kingdom"
14169,"Glasgow (UK/Scotland), United Kingdom"
14174,"Hannover (Germany), Germany"
14201,"North Tyneside (UK/England), United Kingdom"
14213,"Nottinghamshire (UK/England), United Kingdom"
14250,"Penrith (UK/England), United Kingdom"
14377,"Howard AFB Panama  canal, Panama Canal"
14387,"Mitchelstown (Republic of Ireland), Ireland"
14444,"Ramat Gan (Israel), Israel"
14464,"Bloemfontein(OFS) (South Africa), South Africa"
14475,"Kaluga (Russia), Russia"
14521,"Aurangabad.Maharashtra (India), India"
14584,"Kota Kinabalu/Sabah (Malaysia), Malaysia"
14585,"Kota Kinabalu/Sabah (Malaysia), Malaysia"
14596,"Tulcea (Danube Delta) (Romania), Romania"
14604,"Scunthorpe (UK/England), United Kingdom"
14612,"Rhondda Valley  (UK/Wales), United Kingdom"
14636,"Hemel Hempstead (UK/England), United Kingdom"
14656,"Trinidad City (Trinidad), Trinidad and Tobago"
14661,"Bridlington (UK/England), United Kingdom"
14671,"Baranduda (Australia), Australia"
14783,"Sunderland (UK/England), United Kingdom"
14788,"Bridgnorth (UK/England), United Kingdom"
14797,"Scunthorpe (UK/England), United Kingdom"
14843,"Tadley (UK/England), United Kingdom"
14849,"Rye (UK/England), United Kingdom"
14857,"Donegal Town (Republic of Ireland), Ireland"
14876,"Walton on Thames Surrey (UK/England), United Kingdom"
14890,"Brits (South Africa), South Africa"
14914,"London (sw8.4jq) (UK/England), United Kingdom"
14981,"High Andean Plateau of Marcahuasi, Peru"
14988,"Fauske (Norway), Norway"
15004,"Ballina (Republic of Ireland), Ireland"
15026,"Nasik (India), India"
15043,"Bath (UK/England), United Kingdom"
15059,"Chelmsford (UK/England), United Kingdom"
15060,"Todmorden (UK/England), United Kingdom"
15097,"Slough (UK/England), United Kingdom"
15099,"Iceland (approximately; over water), Iceland"
15305,"Carnival cruise ship (Paradise) (Caribbean), Caribbean Sea"
15311,"Kallangur (Australia), Australia"
15322,"Penryn (UK/England), United Kingdom"
15324,"Ilford/Harwich (UK/England), United Kingdom"
15334,"Negombo (Sri Lanka), Sri Lanka"
15342,"Lokeren (Belgium), Belgium"
15349,"Kiev (Ukraine), Ukraine"
15357,"Newport (UK/England), United Kingdom"
15392,"New Forest (UK/England), United Kingdom"
15410,"Sunderland (UK/England), United Kingdom"
15424,"Grantham (UK/England), United Kingdom"
15448,"Dolgellau (UK/Wales), United Kingdom"
15472,"Crawley (UK/England), United Kingdom"
15589,"Bundaverg (Australia), Australia"
15624,"Tinaquillo (Venezuela), Venezuela"
15634,"Dublin (Republic of Ireland), Ireland"
15711,"New Plymouth (New Zealand), New Zealand"
15712,"France (massif maures southern), France"
15727,"Santo Domingo (Dominican Republic), Dominican Republic"
15749,"Harwich (UK/England), United Kingdom"
15780,"Stafford (UK/England), United Kingdom"
15830,"Tewksbury (UK/England), United Kingdom"
15860,"Stonglandseidet/Mølnelva (Norway), Norway"
15863,"Wirral (Liverpool) (UK/England), United Kingdom"
15934,"Kilkenny (Republic of Ireland), Ireland"
15943,"Sheffield (UK/England), United Kingdom"
15946,"Lampeter (UK/Wales), United Kingdom"
15967,"Fort William (UK/Scotland), United Kingdom"
15990,"Sheffield (UK/England), United Kingdom"
15993,"Launceston (UK/England), United Kingdom"
16004,"Elgin (UK/Scotland), United Kingdom"
16007,"Fleetwood (UK/England), United Kingdom"
16030,"Stafford (UK/England), United Kingdom"
16033,"Beograd (Yugoslavia), Yugoslavia"
16040,"Ansbach (Germany), Germany"
16054,"Kaeo (New Zealand), New Zealand"
16058,"Isle of Wight (UK/England), United Kingdom"
16067,"Barnaul (Russia), Russia"
16088,"Barnaul (Russia), Russia"
16133,"Halifax (UK/England), United Kingdom"
16150,"Knott - End. Fleetwood (UK/England), United Kingdom"
16326,"Somogyfajsz (Hungary), Hungary"
16335,"Stirling (UK/Scotland), United Kingdom"
16366,"Carlisle (UK/England), United Kingdom"
16377,"Wakefield (UK/England), United Kingdom"
16391,"Maldon (UK/England), United Kingdom"
16424,"Sandy (UK/England), United Kingdom"
16425,"Bolton (UK/England), United Kingdom"
16429,"Billericay (UK/England), United Kingdom"
16440,"Hull (UK/England), United Kingdom"
16479,"Mt. Popocatepetl (Mexico) Live Cam, Mexico"
16481,"Todmorden (UK/England), United Kingdom"
16525,"Willerby (near Hull) (UK/England), United Kingdom"
16539,"Nitshill (UK/Scotland), United Kingdom"
16574,"Middlesbrough (UK/England) ??, United Kingdom"
16664,"Glasgow (UK/Scotland), United Kingdom"
16668,"Wildflecken (Germany), Germany"
16709,"St. Albans (UK/England), United Kingdom"
16710,"Inverness (UK/Scotland), United Kingdom"
16716,"Wexford Town (Republic of Ireland), Ireland"
16718,"Pewsey (UK/England), United Kingdom"
16740,"Fleetwood (UK/England), United Kingdom"
16743,"Reading (UK/England), United Kingdom"
16746,"Dublin (Republic of Ireland), Ireland"
16773,"Whaley Bridge (UK/England), United Kingdom"
16790,"Glasgow (UK/Scotland), United Kingdom"
16791,"Yorkshire (UK/England), United Kingdom"
16811,"Glasgow (UK/Scotland), United Kingdom"
16824,"Mexborough/South Yorkshire (UK/England), United Kingdom"
16855,"Penha do Capim (Brazil), Brazil"
